id,firstname,lastname,fatherwords,motherwords,lwords,gendre
15433596,Tricia,Romano,0.0,0.0,0.0,1.0
15292630,Bettina,Hansen,0.0,0.0,0.0,1.0
14631084,RyanBlethen,0,0.0,0.0,0.0,0.13
14481809,Kathy,Best,0.0,0.0,0.0,1.0
14420726,bbisbee,0,0.0,0.0,0.0,-0.13
14360923,Daniel,Beekman,0.0,0.0,0.0,-1.0
14296688,Sanjay,Bhatt,0.0,0.0,0.0,-1.0
14247313,Rebekah,Denn,0.0,0.0,0.0,1.0
14074005,Kate,Riley,0.0,0.0,0.0,1.0
11582302,solange,reyner,0.0,0.0,0.0,1.0
11178492,Mark,Higgins,0.0,0.0,0.0,-1.0
11107082,Bob,Warcup,0.0,0.0,0.0,-0.99
9640912,Sharon,Chan,0.0,0.0,0.0,0.71
3452941,Monica,Guzman,0.0,0.0,0.0,0.99
