id,firstname,lastname,fatherwords,motherwords,lwords,gendre
409462343,David,Streitfeld,0.0,0.0,0.0,-1.0
404911747,Philip,Corbett,0.0,0.0,0.0,-0.99
400344850,James,Stewart,0.0,0.0,0.0,-1.0
399452621,Andrew,Kramer,0.0,0.0,0.0,-0.99
399201012,Christoph,Fuhrmans,0.0,0.0,0.0,-1.0
394336510,Gail,Bichler,0.0,0.0,0.0,0.96
389017650,Janet,Piorko,0.0,0.0,0.0,0.5
387531939,Alissa,Rubin,0.0,0.0,0.0,1.0
385052743,Ian,Trontz,0.0,0.0,0.0,-0.99
383997228,Mary,Murphy,0.0,0.0,0.0,1.0
383207452,Matthew,Goldstein,0.0,0.0,0.0,-1.0
382734543,elisabetta,povoledo,0.0,0.0,0.0,1.0
382217070,Connor,Ennis,0.0,0.0,0.0,-0.7
381646547,Tyler,Hicks,0.0,0.0,0.0,-0.99
379379520,Jason,Spingarn-Koff,0.0,0.0,0.0,-0.99
377308500,Tom,Redburn,0.0,0.0,0.0,-1.0
376874857,Andrew,Das,0.0,0.0,0.0,-0.99
376327986,tamar,lewin,0.0,0.0,0.0,0.86
375662595,Eric,Lipton,0.0,0.0,0.0,-0.99
375367337,Lillie,Dremeaux,0.0,0.0,0.0,1.0
373791638,jack,healy,0.0,0.0,0.0,-1.0
373437924,Dean,Baquet,0.0,0.0,0.0,-0.98
372690456,Philip,McClellan,0.0,0.0,0.0,-0.99
372386913,Dean,Chang,0.0,0.0,0.0,-0.97
370982639,Alex,Thompson,0.0,0.0,0.0,-0.95
370113964,Margot,Sanger-Katz,0.0,0.0,0.0,1.0
369684457,Neil,Genzlinger,0.0,0.0,0.0,-1.0
369123575,Ginia,Bellafante,0.0,0.0,0.0,1.0
369089298,Campbell,Robertson,0.0,0.0,0.0,-1.0
363887554,Ford,Fessenden,0.0,0.0,0.0,-1.0
363722449,Mireya,Navarro,0.0,0.0,0.0,1.0
363302768,Vijai,Singh,0.0,0.0,0.0,-0.76
355671913,Gerry,Mullany,0.0,0.0,0.0,-0.76
353847680,Alexandra,Jacobs,0.0,0.0,0.0,0.71
353263514,Douglas,Schorzman,0.0,0.0,0.0,-1.0
353239744,Peter,Khoury,0.0,0.0,0.0,-0.71
352644923,Derek,Watkins,0.0,0.0,0.0,-1.0
351944380,Aimee,Harris,0.0,0.0,0.0,1.0
351768289,Andrea,Elliott,0.0,0.0,0.0,1.0
347276428,Jonathan,Corum,0.0,0.0,0.0,-0.99
346083895,Vivian,Yee,0.0,0.0,0.0,0.49
341924686,David,Barboza,0.0,0.0,0.0,-0.99
341118458,Eric,Schmitt,0.0,0.0,0.0,-0.99
339824133,Jim,Yardley,0.0,0.0,0.0,-0.99
339719556,Daniel,Slotnik,0.0,0.0,0.0,-0.99
339332911,adam,nagourney,0.0,0.0,0.0,-0.99
336130457,Martin,Fackler,0.0,0.0,0.0,-1.0
336020675,Stephen,Castle,0.0,0.0,0.0,-1.0
334733583,David,Moll,0.0,0.0,0.0,-1.0
333517999,Natasha,Singer,0.0,0.0,0.0,1.0
327577091,Justin,Wolfers,0.0,0.0,0.0,-0.99
326834507,Michael,Kimmelman,0.0,0.0,0.0,-0.99
326562333,Maggie,Astor,0.0,0.0,0.0,1.0
326369670,Somini,Sengupta,0.0,0.0,0.0,0.49
321810186,Cate,Doty,0.0,0.0,0.0,1.0
318502583,Kevin,Sack,0.0,0.0,0.0,-1.0
315142011,William,Broad,0.0,0.0,0.0,-0.99
314301334,Robert,Gebeloff,0.0,0.0,0.0,-1.0
312544085,Marcus,Mabry,0.0,0.0,0.0,-0.99
306527400,Richard,Fausset,0.0,0.0,0.0,-1.0
305125998,Jeffrey,Gettleman,0.0,0.0,0.0,-0.99
305005427,Sam,Dolnick,0.0,0.0,0.0,-0.98
302236263,Jon,Kelly,0.0,0.0,0.0,-0.99
301012485,Michael,Powell,0.0,0.0,0.0,-1.0
300497193,Michael,Tackett,0.0,0.0,0.0,-0.99
299734693,Ben,Hubbard,0.0,0.0,0.0,-0.99
299294766,Aurélien,Breeden,0.0,0.0,0.0,0
297071736,Suzanne,Spector,0.0,0.0,0.0,0.71
