id,firstname,lastname,fatherwords,motherwords,lwords,gendre
92062715,Tom,Bowman,0,0,0,-0.99
91426605,Shannon,Rhoades,0,0,0,1
90290461,Arun,Rath,0,0,0,-1
89763218,Neal,Conan,0,0,0,-0.5
88319273,Jessica,Deahl,0,0,0,1
87500030,Tana,Weingartner,0,0,0,1
87359651,Gene,Demby,0,0,0,-0.91
86509455,Jim,Zarroli,0,0,0,-0.99
80077721,Leila,Fadel,0,0,0,1
79234107,Anya,Grundmann,0,0,0,1
77028989,Robert,Benincasa,0,0,0,-1
76715323,Nina,Totenberg,0,0,0,1
73585872,Becky,Sullivan,0,0,0,1
65665638,Alix,Spiegel,0,0,0,0.94
64764788,Howard,Berkes,0,0,0,-0.5
62533729,Heidi,Glenn,0,0,0,1
61581671,Anne,Hawke,0,0,0,1
61285110,Don,NPR,0,0,0,-0.49
59222859,DJ,B,0,0,0,-0.99
58302240,John,Chaneski,0,0,0,-0.99
58027303,Reema,Khrais,0,0,0,1
57396255,oliver,dearden,0,0,0,-1
56847039,Ina,Jaffe,0,0,0,1
56436152,Carrie,Brownstein,0,0,0,0.99
55668504,Emerson,Brown,0,0,0,-0.95
55570400,Shankar,Vedantam,0,0,0,-1
55115184,Coburn,Dukehart,0,0,0,-1
54918640,Uri,Berliner,0,0,0,-0.94
52789743,Kat,Chow,0,0,0,1
50555139,Tyler,Fisher,0,0,0,-0.95
49766432,tovia,smith,0,0,0,-0.28
49501411,Wade,Goodwyn,0,0,0,-0.5
48071844,Rachel,Martin,0,0,0,1
48023388,Cathy,Shaw,0,0,0,1
47936893,Louisa,Lim,0,0,0,1
47658459,Debbie,Elliott,0,0,0,1
46022060,Sanaz,Meshkinpour,0,0,0,1
45860849,Theo,Balcomb,0,0,0,-0.79
45070261,Dana,Farrington,0,0,0,0.79
43606901,Emily,Dagger,0,0,0,1
43153637,Art,Chung,0,0,0,-1
41662515,Ben,Cruz,0,0,0,-1
41651152,April,Fulton,0,0,0,1
41196210,Shirley,Henry,0,0,0,1
38740332,Mark,Memmott,0,0,0,-1
38693794,Sean,Carberry,0,0,0,-0.49
38217439,Kate,Myers,0,0,0,1
37999041,Ari,Shapiro,0,0,0,-0.35
37208326,Jeff,Brady,0,0,0,-1
35822815,Tom,Bullock,0,0,0,-1
35586571,felix,contreras,0,0,0,-1
34739408,Guy,Raz,0,0,0,-0.99
33977598,Barbara,King,0,0,0,1
32633517,Christopher,Groskopf,0,0,0,-0.71
31563425,Tom,Dreisbach,0,0,0,-1
31465599,Greg,Allen,0,0,0,-1
31448660,audie,cornish,0,0,0,-0.17
29794140,Jessica,Pupovac,0,0,0,0.99
29044240,Lars,Schmidt,0,0,0,-1
27941012,Arezou,Rezvani,0,0,0,0.5
27388696,Laura,Lee,0,0,0,1
26326911,Sonari,Glinton,0,0,0,-0.5
26324070,Monika,Evstatieva,0,0,0,1
25564548,Tom,Ashbrook,0,0,0,-1
25465628,Nicole,Beemsterboer,0,0,0,1
