id,firstname,lastname,fatherwords,motherwords,lwords,gendre,sex
39501259,Regina,Robinson,0.0,0.0,0.0,1.0,1.0
38576351,Rick,Tuma,0.0,0.0,0.0,-1.0,-1.0
38434286,vaughn,mcclure,0.0,0.0,0.0,-0.61,-1.0
36770573,Stu,Courtney,0.0,0.0,0.0,-1.0,-1.0
36733288,Jason,Grotto,0.0,0.0,0.0,-0.99,-1.0
35866337,Mary,Podmolik,0.0,0.0,0.0,0.99,1.0
35559570,Gail,MarksJarvis,0.0,0.0,0.0,0.95,1.0
35041279,Cheryl,Bowles,0.0,0.0,0.0,1.0,1.0
34693155,colleen,mastony,0.0,0.0,0.0,1.0,1.0
34369246,Brian,Moore,0.0,0.0,0.0,-1.0,-1.0
33808150,Robert,McCoppin,0.0,0.0,0.0,-0.99,-1.0
33672566,kurt,mueller,0.0,0.0,0.0,-1.0,-1.0
33582241,Bob,McDonald,0.0,0.0,0.0,-1.0,-1.0
32876026,Anne,Halston,0.0,0.0,0.0,1.0,1.0
32678902,Amanda,Kaschube,0.0,0.0,0.0,0.57,1.0
32532946,John,Chase,0.0,0.0,0.0,-0.71,-1.0
30940314,Gregory,Karp,0.0,0.0,0.0,-1.0,-1.0
30610024,Alex,Garcia,0.0,0.0,0.0,-0.99,-1.0
30146845,Pete,Reinwald,0.0,0.0,0.0,-0.99,-1.0
30070994,Chris,Hine,0.0,0.0,0.0,-0.8,-1.0
30032512,Ameet,Sachdev,0.0,0.0,0.0,-1.0,-1.0
28321329,Andy,Shaw,0.0,0.0,0.0,-1.0,-1.0
28202758,Robert,Channick,0.0,0.0,0.0,-0.99,-1.0
27932670,Carlos,Sadovi,0.0,0.0,0.0,-0.7,-1.0
27573842,Chris,Jones,0.0,0.0,0.0,-0.96,-1.0
27111518,Kenney,Marlatt,0.0,0.0,0.0,-1.0,-1.0
26922862,Leo,Ebersole,0.0,0.0,0.0,-0.66,-1.0
26769653,Becky,Yerak,0.0,0.0,0.0,1.0,1.0
26752473,Dana,Gagnon,0.0,0.0,0.0,0.71,1.0
25859059,Greg,Kot,0.0,0.0,0.0,-1.0,-1.0
25303421,Trevor,Jensen,0.0,0.0,0.0,-0.67,-1.0
24959190,Richard,Wronski,0.0,0.0,0.0,-1.0,-1.0
24766444,Mary,Schmich,0.0,0.0,0.0,1.0,1.0
24722166,Jenna,Trautman,0.0,0.0,0.0,1.0,1.0
24242107,Jeff,Coen,0.0,0.0,0.0,-1.0,-1.0
24040410,Bonnie,Rubin,0.0,0.0,0.0,0.98,1.0
23986097,Amy,Dickinson,0.0,0.0,0.0,1.0,1.0
23680014,Todd,Panagopoulos,0.0,0.0,0.0,-0.99,-1.0
23629011,Lisa,Black,0.0,0.0,0.0,1.0,1.0
23555906,Tribune,Board,0.0,0.0,0.0,0.29,1.0
23513475,Angela,O'Toole,0.0,0.0,0.0,0.99,1.0
22996865,Fauzia,McGuire,0.0,0.0,0.0,1.0,1.0
22978329,Mark,Gonzales,0.0,0.0,0.0,-1.0,-1.0
22977915,Jeremy,Gorner,0.0,0.0,0.0,-0.99,-1.0
22975108,Vikki,Healy,0.0,0.0,0.0,1.0,1.0
22830616,David,Heinzmann,0.0,0.0,0.0,-1.0,-1.0
22827038,Michael,Oneal,0.0,0.0,0.0,-0.99,-1.0
22809556,Jodi,Cohen,0.0,0.0,0.0,0.98,1.0
22744686,Thomas,Outlaw,0.0,0.0,0.0,-0.67,-1.0
