,fatherwords,motherwords,lwords,gendre,1
16558128,0,0,0,-0.66,-1.0
16564534,0,0,0,1.0,1.0
16612967,0,0,0,0.13,1.0
16614645,0,0,0,-1.0,-1.0
16638693,0,0,0,-0.95,-1.0
16654122,0,0,0,-0.5,-1.0
16658356,0,0,0,0.93,1.0
16687989,0,0,0,-0.99,-1.0
16689002,0,0,0,1.0,1.0
16703587,0,0,0,1.0,1.0
16723405,0,0,0,1.0,1.0
16843082,0,0,0,0.13,-1.0
16877043,0,0,0,-0.96,-1.0
16879494,0,0,0,1.0,1.0
16920023,0,0,0,1.0,1.0
16922689,0,0,0,-0.13,-1.0
16934068,0,0,0,1.0,1.0
16935447,0,0,0,-0.13,1.0
16976436,0,0,0,0.5,1.0
17001077,0,0,0,-1.0,-1.0
17015858,0,0,0,0.13,1.0
17021716,0,0,0,0.13,1.0
17040452,0,0,0,1.0,1.0
17041359,0,0,0,-0.13,-1.0
17051383,0,0,0,-1.0,-1.0
17070233,0,0,0,1.0,1.0
17120022,0,0,0,-1.0,-1.0
17173917,0,0,0,0.13,1.0
17197453,0,0,0,0.96,1.0
17230705,0,0,0,-0.97,-1.0
17275291,0,0,0,0.13,1.0
17278045,0,0,0,-0.57,-1.0
17340304,0,0,0,-0.13,-1.0
17381889,0,0,0,0.13,1.0
17390010,0,0,0,-0.13,-1.0
17390474,0,0,0,0.87,1.0
17393520,0,0,0,1.0,1.0
17402855,0,0,0,0.99,1.0
17410824,0,0,0,0.39,-1.0
17445744,0,0,0,0.13,-1.0
17486256,0,0,0,1.0,1.0
17515180,0,0,0,-1.0,-1.0
17545479,0,0,0,1.0,1.0
17568482,0,0,0,-0.71,-1.0
17572825,0,0,0,-0.5,-1.0
17579750,0,0,0,-0.99,-1.0
17592150,0,0,0,-1.0,-1.0
17645329,0,0,0,-1.0,-1.0
17670443,0,0,0,-1.0,-1.0
17674315,0,0,0,-0.56,-1.0
17691143,0,0,0,-1.0,-1.0
17724014,0,0,0,-0.13,-1.0
17742810,0,0,0,0.13,1.0
17753590,0,0,0,-0.13,-1.0
17783763,0,0,0,-0.13,1.0
17792766,0,0,0,-1.0,-1.0
17824193,0,0,0,1.0,1.0
17832889,0,0,0,0.8,-1.0
17840799,0,0,0,0.99,1.0
17869240,0,0,0,1.0,1.0
17902642,0,0,0,0.13,-1.0
17959867,0,0,0,-0.66,-1.0
17970142,0,0,0,-0.13,-1.0
17971971,0,0,0,-0.13,-1.0
18038347,0,0,0,-0.99,-1.0
18049540,0,0,0,1.0,1.0
18086487,0,0,0,1.0,1.0
18132420,0,0,0,-0.99,-1.0
18135440,0,0,0,0.99,1.0
18139144,0,0,0,-0.13,1.0
18175637,0,0,0,-0.67,-1.0
18187501,0,0,0,0.13,1.0
18197280,0,0,0,0.99,1.0
18220568,0,0,0,-0.13,-1.0
18244237,0,0,0,0.99,1.0
18306034,0,0,0,-0.45,1.0
18382169,0,0,0,0.93,1.0
18401723,0,0,0,-0.67,-1.0
18439528,0,0,0,-1.0,-1.0
18513223,0,0,0,-0.48,-1.0
18540190,0,0,0,1.0,1.0
18544764,0,0,0,-0.5,-1.0
18548225,0,0,0,-0.71,-1.0
18555432,0,0,0,-0.13,-1.0
18566848,0,0,0,-1.0,-1.0
18579000,0,0,0,-0.5,-1.0
18604052,0,0,0,0.99,1.0
18677446,0,0,0,-0.5,-1.0
18710715,0,0,0,1.0,1.0
18780050,0,0,0,0.13,-1.0
18845924,0,0,0,1.0,1.0
18850239,0,0,0,-0.13,-1.0
18870047,0,0,0,1.0,1.0
18885522,0,0,0,-1.0,-1.0
18885718,0,0,0,1.0,1.0
18897100,0,0,0,-0.63,-1.0
18914744,0,0,0,1.0,1.0
18920248,0,0,0,1.0,1.0
18956915,0,0,0,1.0,1.0
18963689,0,0,0,1.0,1.0
18981247,0,0,0,-0.13,1.0
19022335,0,0,0,1.0,1.0
19028281,0,0,0,-1.0,-1.0
19034091,0,0,0,-1.0,-1.0
19043353,0,0,0,-0.99,-1.0
19073389,0,0,0,0.99,1.0
19107306,0,0,0,0.13,-1.0
19114738,0,0,0,-0.98,-1.0
19115476,0,0,0,0.99,1.0
19121053,0,0,0,0.13,1.0
19171913,0,0,0,-1.0,-1.0
19199420,0,0,0,0.91,1.0
19200489,0,0,0,-1.0,-1.0
19208102,0,0,0,-0.13,-1.0
19249084,0,0,0,-0.5,-1.0
19275171,0,0,0,0.13,-1.0
19291119,0,0,0,-0.99,-1.0
19313328,0,0,0,-1.0,-1.0
19343211,0,0,0,0.13,-1.0
19343367,0,0,0,0.0,1.0
19362614,0,0,0,0.5,1.0
19379387,0,0,0,-1.0,-1.0
19395890,0,0,0,1.0,1.0
19403463,0,0,0,-0.71,-1.0
19407754,0,0,0,0.48,1.0
19441905,0,0,0,0.99,1.0
19452453,0,0,0,-0.99,-1.0
19455124,0,0,0,-1.0,-1.0
19488148,0,0,0,-0.13,1.0
19501506,0,0,0,-1.0,-1.0
19512949,0,0,0,1.0,1.0
19518066,0,0,0,-0.13,1.0
19529587,0,0,0,-0.99,-1.0
19542258,0,0,0,0.5,1.0
19556164,0,0,0,0.57,1.0
19624880,0,0,0,1.0,1.0
19650032,0,0,0,-1.0,-1.0
19662626,0,0,0,-1.0,-1.0
19670207,0,0,0,-0.79,1.0
19671106,0,0,0,-0.13,1.0
19671902,0,0,0,0.5,1.0
19681331,0,0,0,-1.0,-1.0
19685771,0,0,0,-0.13,-1.0
19698124,0,0,0,-0.13,-1.0
19715023,0,0,0,-0.96,-1.0
19726936,0,0,0,-0.57,-1.0
19748374,0,0,0,-0.97,-1.0
19803493,0,0,0,-0.99,-1.0
19825905,0,0,0,-0.1,1.0
19832210,0,0,0,-0.13,-1.0
19878178,0,0,0,,1.0
19879651,0,0,0,-1.0,-1.0
19881665,0,0,0,1.0,1.0
19881771,0,0,0,-0.13,1.0
19893233,0,0,0,-0.48,-1.0
19954110,0,0,0,1.0,-1.0
19962028,0,0,0,0.0,-1.0
19968848,0,0,0,-1.0,-1.0
19972140,0,0,0,0.5,1.0
19979564,0,0,0,1.0,1.0
19984853,0,0,0,0.0,1.0
20024854,0,0,0,-0.13,1.0
20028227,0,0,0,-1.0,-1.0
20050620,0,0,0,0.13,-1.0
20097006,0,0,0,1.0,1.0
20116250,0,0,0,1.0,-1.0
20132693,0,0,0,-0.98,-1.0
20137047,0,0,0,1.0,1.0
20159336,0,0,0,0.99,1.0
20169125,0,0,0,1.0,1.0
20198227,0,0,0,-0.13,1.0
20240521,0,0,0,-0.49,-1.0
20255442,0,0,0,0.5,1.0
20273639,0,0,0,-0.92,-1.0
20275851,0,0,0,0.99,1.0
20280427,0,0,0,-0.96,-1.0
20281967,0,0,0,0.13,-1.0
20288177,0,0,0,-1.0,-1.0
20302792,0,0,0,-1.0,-1.0
20337648,0,0,0,-0.13,-1.0
20339356,0,0,0,-1.0,-1.0
20344558,0,0,0,1.0,1.0
20351695,0,0,0,1.0,1.0
20360226,0,0,0,0.98,1.0
20367817,0,0,0,0.0,1.0
20392014,0,0,0,-0.99,-1.0
20397301,0,0,0,-0.99,-1.0
20410491,0,0,0,0.99,1.0
20436483,0,0,0,1.0,1.0
20450621,0,0,0,-0.13,-1.0
20455008,0,0,0,1.0,1.0
20458872,0,0,0,1.0,1.0
20460384,0,0,0,1.0,1.0
20510879,0,0,0,-0.99,-1.0
20511730,0,0,0,-0.38,-1.0
20518552,0,0,0,-0.13,1.0
20569989,0,0,0,-1.0,-1.0
20584494,0,0,0,0.69,1.0
20585106,0,0,0,-0.99,-1.0
20619416,0,0,0,0.84,-1.0
20634175,0,0,0,0.5,1.0
20649912,0,0,0,-0.71,-1.0
20679726,0,0,0,0.96,-1.0
20705238,0,0,0,-0.13,-1.0
20735597,1,0,0,-1.0,-1.0
20750786,0,0,0,0.56,1.0
20766660,0,0,0,0.0,-1.0
20770010,0,0,0,-0.99,-1.0
20776287,0,0,0,1.0,1.0
20777812,0,0,0,1.0,1.0
20828059,0,0,0,-0.65,1.0
20829891,0,0,0,0.0,1.0
20843545,0,0,0,0.99,1.0
20912626,0,0,0,1.0,1.0
20928366,0,0,0,-1.0,-1.0
20945749,0,0,0,-1.0,-1.0
20949259,0,0,0,1.0,1.0
20962400,0,0,0,1.0,1.0
20998885,0,0,0,-0.3,-1.0
21004982,0,0,0,-0.13,-1.0
21009405,0,0,0,-1.0,-1.0
21023961,0,0,0,-1.0,1.0
21041794,0,0,0,-1.0,-1.0
21080270,0,0,0,-1.0,-1.0
21080590,0,0,0,0.99,1.0
21082234,0,0,0,1.0,1.0
21089659,0,0,0,1.0,1.0
21122605,0,0,0,1.0,1.0
21154005,0,0,0,1.0,1.0
21164692,0,0,0,1.0,1.0
21181946,0,0,0,-0.99,-1.0
21183938,0,0,0,-0.99,-1.0
21209044,0,0,0,0.13,-1.0
21218554,0,0,0,-0.7,-1.0
21232507,0,0,0,-0.98,-1.0
21239351,0,0,0,-0.51,-1.0
21249332,0,0,0,-0.13,1.0
21253040,0,0,0,1.0,1.0
21273781,0,0,0,-0.93,-1.0
21317179,0,0,0,-0.13,1.0
21398381,0,0,0,0.98,1.0
21414137,0,0,0,0.13,1.0
21448601,0,0,0,0.99,1.0
21451640,0,0,0,-0.99,-1.0
21465443,1,0,0,-0.99,-1.0
21475850,0,0,0,-1.0,1.0
21478740,0,0,0,-0.13,-1.0
21501053,0,0,0,-0.96,-1.0
21616675,0,0,0,0.99,1.0
21631986,0,0,0,0.99,1.0
21681777,0,0,0,1.0,1.0
21731443,0,0,0,-0.13,-1.0
21774659,0,0,0,-0.5,-1.0
21781645,0,0,0,0.0,1.0
21792068,0,0,0,0.5,1.0
21817105,0,0,0,1.0,1.0
21817599,0,0,0,-1.0,-1.0
21826355,0,0,0,0.13,1.0
21833728,0,0,0,-0.13,1.0
21834078,0,0,0,-0.94,-1.0
21868268,0,0,0,-0.69,-1.0
21885481,0,0,0,0.13,-1.0
21887823,0,0,0,0.13,-1.0
21926014,0,0,0,1.0,-1.0
21932237,0,0,0,-0.71,-1.0
21932775,1,0,0,0.5,1.0
21947838,0,0,0,-1.0,-1.0
21962322,0,0,0,-1.0,-1.0
21964824,0,0,0,-0.71,1.0
21991753,0,0,0,-1.0,-1.0
21998727,0,0,0,-0.7,-1.0
22032000,0,0,0,-1.0,-1.0
22070093,0,0,0,1.0,1.0
22075511,0,0,0,-0.13,-1.0
22076880,0,0,0,0.98,1.0
